ID,Class,Timestamp,Confidence
car_0,car,2025-03-23 11:36:25,0.88
car_1,car,2025-03-23 11:36:25,0.55
car_2,car,2025-03-23 11:36:29,0.90
car_3,car,2025-03-23 11:36:54,0.99
car_4,car,2025-03-23 11:37:03,0.81
car_5,car,2025-03-23 11:37:13,0.82
car_6,car,2025-03-23 11:37:13,0.67
car_7,car,2025-03-23 11:37:18,0.87
car_8,car,2025-03-23 11:37:37,0.89
car_9,car,2025-03-23 11:37:37,0.84
car_10,car,2025-03-23 11:37:37,0.81
car_11,car,2025-03-23 11:37:46,0.92
car_12,car,2025-03-23 11:37:46,0.57
car_13,car,2025-03-23 11:38:29,0.99
car_14,car,2025-03-23 11:38:29,0.95
car_15,car,2025-03-23 11:38:29,0.64
car_16,car,2025-03-23 11:38:37,0.97
car_17,car,2025-03-23 11:38:37,0.62
car_18,car,2025-03-23 11:39:33,0.88
car_19,car,2025-03-23 11:39:48,0.98
car_20,car,2025-03-23 11:40:00,0.83
truck_21,truck,2025-03-23 11:40:17,0.87
car_22,car,2025-03-23 11:40:17,0.55
car_23,car,2025-03-23 11:40:41,0.95
car_24,car,2025-03-23 11:40:41,0.92
car_25,car,2025-03-23 11:40:46,0.80
car_26,car,2025-03-23 11:41:11,0.72
truck_27,truck,2025-03-23 11:41:11,0.51
truck_28,truck,2025-03-23 11:41:32,0.70
car_29,car,2025-03-23 11:41:32,0.67
car_30,car,2025-03-23 11:41:33,0.64
car_31,car,2025-03-23 11:41:58,0.85
car_32,car,2025-03-23 11:41:58,0.68
car_33,car,2025-03-23 11:42:18,0.97
car_34,car,2025-03-23 11:42:18,0.97
car_35,car,2025-03-23 11:42:38,0.69
car_36,car,2025-03-23 11:43:03,0.69
car_37,car,2025-03-23 11:43:05,0.73
car_38,car,2025-03-23 11:43:20,0.96
car_39,car,2025-03-23 11:43:20,0.58
bus_40,bus,2025-03-23 11:43:39,0.58
person_41,person,2025-03-23 11:43:49,0.57
car_42,car,2025-03-23 11:44:14,0.98
car_43,car,2025-03-23 11:45:36,0.79
car_44,car,2025-03-23 11:45:45,0.59
car_45,car,2025-03-23 11:46:41,0.87
car_46,car,2025-03-23 11:46:41,0.78
car_47,car,2025-03-23 11:46:54,0.53
bus_48,bus,2025-03-23 11:47:15,0.56
person_49,person,2025-03-23 11:47:51,0.58
car_50,car,2025-03-23 11:48:02,0.87
person_51,person,2025-03-23 11:48:13,0.52
car_52,car,2025-03-23 11:48:45,0.94
car_53,car,2025-03-23 11:48:45,0.65
person_54,person,2025-03-23 11:48:45,0.53
car_55,car,2025-03-23 11:49:19,0.86
person_56,person,2025-03-23 11:49:19,0.61
person_57,person,2025-03-23 11:49:19,0.53
car_58,car,2025-03-23 11:49:57,0.93
car_59,car,2025-03-23 11:49:57,0.57
car_60,car,2025-03-23 11:50:07,0.60
car_61,car,2025-03-23 11:50:07,0.61
car_62,car,2025-03-23 11:50:59,0.98
car_63,car,2025-03-23 11:50:59,0.54
car_64,car,2025-03-23 11:51:17,0.55
car_65,car,2025-03-23 11:51:17,0.54
car_66,car,2025-03-23 11:52:17,0.87
bus_67,bus,2025-03-23 11:52:24,0.52
car_68,car,2025-03-23 11:52:27,0.56
car_69,car,2025-03-23 11:53:17,0.71
car_0,car,2025-03-23 13:25:48,0.88
car_1,car,2025-03-23 13:25:48,0.55
car_2,car,2025-03-23 13:25:53,0.90
car_3,car,2025-03-23 13:26:18,0.99
car_4,car,2025-03-23 13:26:28,0.81
car_5,car,2025-03-23 13:26:38,0.82
car_6,car,2025-03-23 13:26:38,0.67
car_7,car,2025-03-23 13:26:43,0.87
car_8,car,2025-03-23 13:27:01,0.89
car_9,car,2025-03-23 13:27:01,0.84
car_10,car,2025-03-23 13:27:01,0.81
car_11,car,2025-03-23 13:27:10,0.92
car_12,car,2025-03-23 13:27:10,0.57
